"InventoryID","ProjectID","CoCCode","HouseholdType","Availability","UnitInventory","BedInventory","CHVetBedInventory","YouthVetBedInventory","VetBedInventory","CHYouthBedInventory","YouthBedInventory","CHBedInventory","OtherBedInventory","ESBedType","InventoryStartDate","InventoryEndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"1997","109","XX-501",3,,15,36,0,0,0,0,0,0,36,,2018-07-01,,2018-08-08 11:40:23,2020-10-20 13:54:44,"27",,"1036"
"1578","389","XX-501",1,,0,8,0,0,0,0,0,0,8,,2017-01-25,2021-01-26,2017-03-16 10:59:05,2021-05-18 11:56:35,"27",,"1036"
"3641","389","XX-501",1,,0,10,0,0,0,0,0,0,10,,2021-01-27,,2021-05-18 11:56:51,2021-05-18 11:56:51,"27",,"1036"
"1967","486","XX-501",3,1,1,3,0,0,0,0,0,0,3,1,2018-01-31,2020-01-27,2018-06-07 11:21:23,2021-01-10 11:20:11,"23",,"1036"
"3002","486","XX-501",3,3,0,3,0,0,0,0,0,0,3,1,2018-01-31,2021-01-25,2020-10-12 14:29:18,2022-01-26 16:20:33,"27",,"1036"
"2723","486","XX-501",1,1,0,11,0,0,0,0,0,0,11,1,2020-01-28,2021-01-26,2020-06-30 08:52:19,2022-01-25 17:01:23,"27",,"1036"
"1966","486","XX-501",1,1,0,14,0,0,0,0,0,0,14,1,2018-01-31,2020-01-27,2018-06-07 11:20:56,2021-01-10 11:20:21,"23",,"1036"
"4311","486","XX-501",1,1,0,11,0,0,0,0,0,0,11,1,2021-01-27,,2022-01-25 17:01:45,2022-01-25 17:01:45,"27",,"1036"
"3499","486","XX-501",1,3,0,6,0,0,0,0,0,0,6,1,2021-01-26,,2021-05-14 16:06:40,2022-01-26 16:20:40,"27",,"1036"
"3498","486","XX-501",3,1,1,1,0,0,0,0,0,0,1,1,2021-01-27,,2021-05-14 15:58:29,2021-05-14 15:58:29,"27",,"1036"
"1589","608","XX-501",1,,0,4,0,0,0,0,0,0,4,,2017-01-25,,2017-03-16 11:09:50,2020-10-20 14:09:47,"27",,"1036"
"3583","632","XX-501",1,,0,12,0,0,0,0,0,12,0,,2021-01-27,,2021-05-18 10:48:21,2022-01-27 06:26:58,"27",,"1036"
"1846","632","XX-501",1,,0,13,0,0,0,0,0,13,0,,2018-01-31,2021-01-26,2018-03-21 12:44:33,2021-05-18 10:47:12,"27",,"1036"
"3582","632","XX-501",3,,1,2,0,0,0,0,0,2,0,,2021-01-27,,2021-05-18 10:47:52,2022-01-27 06:26:36,"27",,"1036"
"3555","877","XX-501",4,1,0,4,0,0,0,0,4,0,0,1,2021-01-27,,2021-05-18 09:22:06,2021-05-18 09:23:54,"27",,"1036"
"1643","877","XX-501",4,1,0,1,0,0,0,0,1,0,0,1,2017-01-25,2021-01-26,2017-03-16 11:54:28,2021-05-18 09:21:33,"27",,"1036"
"3233","1060","XX-501",3,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-10-26 08:21:28,2021-01-10 13:59:27,"23",,"1036"
"4218","1060","XX-501",1,,0,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2021-11-16 14:48:48,2022-01-26 13:47:27,"27",,"1036"
"3231","1060","XX-501",1,,0,4,0,0,0,0,0,0,4,,2020-01-31,2020-09-30,2020-10-26 08:20:21,2020-12-29 14:12:34,"27",,"1036"
"3232","1060","XX-501",3,,0,0,0,0,0,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:21:05,2021-01-10 13:58:58,"23",,"1036"
"3234","1060","XX-501",3,,1,4,0,0,0,0,0,0,4,,2020-01-31,2020-09-30,2020-10-26 08:21:50,2020-12-29 14:15:20,"27",,"1036"
"2748","1060","XX-501",1,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-06-30 16:18:12,2021-01-10 13:59:17,"23",,"1036"
"4215","1060","XX-501",3,,0,0,0,0,0,0,0,0,0,,2020-10-01,2021-01-26,2021-11-16 14:46:47,2021-11-16 14:46:47,"29",,"1036"
"3662","1060","XX-501",1,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 12:12:11,2021-05-18 12:12:11,"27",,"1036"
"4216","1060","XX-501",3,,1,2,0,0,0,0,0,0,2,,2021-01-29,2021-09-30,2021-11-16 14:47:19,2022-01-26 13:47:17,"27",,"1036"
"4217","1060","XX-501",1,,0,4,0,0,0,0,0,0,4,,2020-10-01,2021-01-26,2021-11-16 14:48:02,2022-01-26 13:47:00,"27",,"1036"
"3663","1060","XX-501",3,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 12:12:25,2021-05-18 12:12:25,"27",,"1036"
"3230","1060","XX-501",1,,0,0,0,0,0,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:19:54,2021-01-10 13:59:08,"23",,"1036"
"1512","1236","XX-501",1,,0,6,6,0,0,0,0,0,0,,2017-01-25,2021-01-26,2017-03-16 08:43:11,2022-01-27 06:29:43,"27",,"1036"
"4332","1236","XX-501",1,,0,6,6,0,0,0,0,0,0,,2021-01-27,,2022-01-27 06:30:21,2022-01-27 06:30:34,"27",,"1036"
"3224","1351","XX-501",3,,1,3,0,0,3,0,0,0,0,,2020-01-31,2020-09-30,2020-10-26 08:15:20,2020-10-26 08:15:20,"27",,"1036"
"3223","1351","XX-501",3,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-10-26 08:14:51,2021-01-10 13:48:44,"23",,"1036"
"3222","1351","XX-501",3,,1,3,0,0,3,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:14:23,2021-01-10 13:48:32,"23",,"1036"
"4197","1351","XX-501",3,,1,3,0,0,3,0,0,0,0,,2021-01-29,2021-09-30,2021-11-16 14:10:07,2022-01-14 15:54:31,"23",,"1036"
"3571","1351","XX-501",1,,0,3,0,0,3,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 10:13:09,2021-05-18 10:13:09,"27",,"1036"
"3221","1351","XX-501",1,,0,2,0,0,2,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:13:37,2021-01-10 13:48:23,"23",,"1036"
"4199","1351","XX-501",1,,0,6,0,0,6,0,0,0,0,,2021-01-29,2021-09-30,2021-11-16 14:10:52,2022-01-14 15:54:19,"23",,"1036"
"2734","1351","XX-501",1,,0,1,0,0,1,0,0,0,0,,2020-01-28,2020-01-30,2020-06-30 13:40:01,2021-01-10 13:48:54,"23",,"1036"
"4198","1351","XX-501",1,,0,6,0,0,6,0,0,0,0,,2020-10-01,2021-01-26,2021-11-16 14:10:31,2022-01-14 15:53:18,"23",,"1036"
"3225","1351","XX-501",1,,0,2,0,0,2,0,0,0,0,,2020-01-31,2020-09-30,2020-10-26 08:15:48,2020-10-26 08:15:48,"27",,"1036"
"4196","1351","XX-501",3,,1,3,0,0,3,0,0,0,0,,2020-10-01,2021-01-26,2021-11-16 14:09:41,2022-01-14 15:53:02,"23",,"1036"
"3216","1377","XX-501",1,,0,0,0,0,0,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:10:21,2021-01-10 13:37:59,"23",,"1036"
"2722","1377","XX-501",1,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-06-29 16:08:26,2021-01-10 13:38:13,"23",,"1036"
"2361","1377","XX-501",3,,5,18,0,0,0,0,0,0,18,,2019-02-06,2020-02-07,2019-04-25 22:16:08,2020-12-23 11:41:21,"27",,"1036"
"3635","1377","XX-501",3,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 11:53:25,2021-05-18 11:53:25,"27",,"1036"
"3636","1377","XX-501",1,,0,2,0,0,0,0,0,0,2,,2021-01-27,2021-01-28,2021-05-18 11:53:46,2021-05-18 11:53:46,"27",,"1036"
"3218","1377","XX-501",1,,0,0,0,0,0,0,0,0,0,,2020-01-31,2020-09-30,2020-10-26 08:11:13,2020-10-26 08:11:13,"27",,"1036"
"3220","1377","XX-501",3,,1,4,0,0,0,0,0,0,4,,2020-01-31,2020-09-30,2020-10-26 08:12:51,2020-10-26 08:12:51,"27",,"1036"
"3219","1377","XX-501",3,,1,4,0,0,0,0,0,0,4,,2019-10-01,2020-01-27,2020-10-26 08:12:19,2021-01-10 13:37:50,"23",,"1036"
"3217","1377","XX-501",1,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-10-26 08:10:49,2021-01-10 13:38:25,"23",,"1036"
"3946","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,2020-01-28,2021-01-26,2021-10-07 10:20:12,2021-10-07 10:20:12,"23",,"1036"
"3947","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,2021-01-27,,2021-10-07 10:20:54,2021-10-07 10:20:54,"23",,"1036"
"1719","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,2017-10-01,2018-01-30,2017-10-12 13:16:47,2021-10-07 10:17:05,"23",,"1036"
"3950","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2020-01-28,2021-01-26,2021-10-07 10:23:43,2021-10-07 10:23:43,"23",,"1036"
"3945","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,2019-02-06,2020-01-27,2021-10-07 10:19:15,2021-10-07 10:19:15,"23",,"1036"
"1720","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2017-10-01,2018-01-30,2017-10-12 13:16:47,2021-10-07 10:17:13,"23",,"1036"
"3951","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2021-01-27,,2021-10-07 10:24:09,2021-10-07 10:24:09,"23",,"1036"
"3949","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,2019-02-06,2020-01-28,2021-10-07 10:22:50,2021-10-07 10:22:50,"23",,"1036"
"1986","1397","XX-501",3,,1,5,0,0,0,0,0,5,0,,2018-01-31,2021-01-26,2018-06-11 11:50:03,2022-01-27 06:47:04,"27",,"1036"
"4336","1397","XX-501",1,,0,5,0,0,0,0,0,5,0,,2021-01-27,,2022-01-27 06:46:53,2022-01-27 06:46:53,"27",,"1036"
"1728","1397","XX-501",1,,0,5,0,0,0,0,0,5,0,,2017-10-01,2021-01-26,2017-10-12 13:20:39,2022-01-27 06:46:11,"27",,"1036"
"4337","1397","XX-501",3,,1,5,0,0,0,0,0,5,0,,2021-01-27,,2022-01-27 06:47:26,2022-01-27 06:47:26,"27",,"1036"
"3607","1418","XX-501",1,,0,6,0,0,0,0,0,0,6,,2021-01-27,2021-01-28,2021-05-18 11:32:01,2021-05-18 11:32:01,"27",,"1036"
"2665","1418","XX-501",3,,3,16,0,0,0,0,0,0,16,,2020-01-28,2020-01-30,2020-06-17 10:47:40,2021-01-10 12:47:58,"23",,"1036"
"4135","1418","XX-501",1,,0,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2021-11-16 13:05:45,2022-01-27 06:13:35,"27",,"1036"
"3147","1418","XX-501",1,,0,7,0,0,0,0,0,0,7,,2020-01-29,2020-01-30,2020-10-23 10:43:21,2020-10-23 10:43:21,"27",,"1036"
"3148","1418","XX-501",3,,7,33,0,0,0,0,0,0,33,,2020-01-31,2020-09-30,2020-10-23 10:58:23,2020-10-23 10:58:23,"27",,"1036"
"3145","1418","XX-501",1,,0,8,0,0,0,0,0,0,8,,2019-10-01,2020-01-27,2020-10-23 10:41:47,2021-01-10 12:47:47,"23",,"1036"
"3146","1418","XX-501",3,,7,33,0,0,0,0,0,0,33,,2019-10-01,2020-01-27,2020-10-23 10:42:46,2021-01-10 12:48:15,"23",,"1036"
"3606","1418","XX-501",3,,5,19,0,0,0,0,0,0,19,,2021-01-27,2021-01-28,2021-05-18 11:31:42,2021-05-18 11:31:42,"27",,"1036"
"2664","1418","XX-501",1,,0,8,0,0,0,0,0,0,8,,2020-01-31,2020-09-30,2020-06-17 10:46:52,2020-10-23 10:58:40,"27",,"1036"
"4134","1418","XX-501",1,,0,9,0,0,0,0,0,0,9,,2020-10-10,2021-01-26,2021-11-16 13:04:47,2021-11-16 13:04:47,"29",,"1036"
"4133","1418","XX-501",3,,6,22,0,0,0,0,0,0,22,,2021-01-29,2021-09-30,2021-11-16 13:03:38,2021-11-16 13:03:38,"29",,"1036"
"4132","1418","XX-501",3,,6,22,0,0,0,0,0,0,22,,2020-10-01,2021-01-26,2021-11-16 13:02:37,2021-11-16 13:02:37,"29",,"1036"
"1884","1435","XX-501",1,,0,6,0,0,0,0,0,0,6,,2018-01-31,2021-01-26,2018-04-17 14:00:17,2022-01-27 06:52:39,"27",,"1036"
"4340","1435","XX-501",1,,0,6,0,0,0,0,0,0,6,,2021-01-27,,2022-01-27 06:53:05,2022-01-27 06:53:05,"27",,"1036"
"2020","1451","XX-501",3,,5,15,0,0,15,0,0,0,0,,2018-10-01,2020-09-30,2018-09-11 13:10:57,2021-05-03 13:08:47,"18",,"1036"
"4328","1606","XX-501",3,,1,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2022-01-26 13:48:25,2022-01-26 13:48:25,"27",,"1036"
"4329","1606","XX-501",1,,0,3,0,0,0,0,0,0,3,,2021-01-29,2021-09-30,2022-01-26 13:48:49,2022-01-26 13:48:49,"27",,"1036"
"3629","1606","XX-501",1,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 11:48:39,2021-05-18 11:48:39,"27",,"1036"
"3628","1606","XX-501",3,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 11:48:23,2021-05-18 11:48:23,"27",,"1036"
